timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691509404798,732,HTTP Request,200,OK,Thread Group 1-15,text,true,,1722,118,22,22,https://www.daraz.com.bd/,708,0,567
1691509404298,1232,HTTP Request,200,OK,Thread Group 1-10,text,true,,1704,118,22,22,https://www.daraz.com.bd/,1208,0,1066
1691509404499,1031,HTTP Request,200,OK,Thread Group 1-12,text,true,,1716,118,22,22,https://www.daraz.com.bd/,1010,0,860
1691509403518,2012,HTTP Request,200,OK,Thread Group 1-1,text,true,,1765,118,22,22,https://www.daraz.com.bd/,1988,0,1841
1691509404099,1431,HTTP Request,200,OK,Thread Group 1-8,text,true,,1759,118,22,22,https://www.daraz.com.bd/,1411,0,1260
1691509404897,633,HTTP Request,200,OK,Thread Group 1-16,text,true,,1716,118,22,22,https://www.daraz.com.bd/,613,0,462
1691509403702,1828,HTTP Request,200,OK,Thread Group 1-4,text,true,,1710,118,22,22,https://www.daraz.com.bd/,1804,0,1657
1691509404199,1331,HTTP Request,200,OK,Thread Group 1-9,text,true,,1759,118,22,22,https://www.daraz.com.bd/,1307,0,1160
1691509404996,534,HTTP Request,200,OK,Thread Group 1-17,text,true,,1728,118,22,22,https://www.daraz.com.bd/,514,0,363
1691509404000,1530,HTTP Request,200,OK,Thread Group 1-7,text,true,,1765,118,22,22,https://www.daraz.com.bd/,1508,0,1364
1691509403604,1926,HTTP Request,200,OK,Thread Group 1-3,text,true,,1722,118,22,22,https://www.daraz.com.bd/,1905,0,1761
1691509404598,932,HTTP Request,200,OK,Thread Group 1-13,text,true,,1740,118,22,22,https://www.daraz.com.bd/,912,0,761
1691509403803,1727,HTTP Request,200,OK,Thread Group 1-5,text,true,,1747,118,22,22,https://www.daraz.com.bd/,1705,0,1556
1691509404698,832,HTTP Request,200,OK,Thread Group 1-14,text,true,,1728,118,22,22,https://www.daraz.com.bd/,811,0,667
1691509403518,2012,HTTP Request,200,OK,Thread Group 1-2,text,true,,1716,118,22,22,https://www.daraz.com.bd/,1988,0,1846
1691509404399,1131,HTTP Request,200,OK,Thread Group 1-11,text,true,,1710,118,22,22,https://www.daraz.com.bd/,1107,0,961
1691509403901,1629,HTTP Request,200,OK,Thread Group 1-6,text,true,,1722,118,22,22,https://www.daraz.com.bd/,1606,0,1459
1691509405097,460,HTTP Request,200,OK,Thread Group 1-18,text,true,,1716,118,5,5,https://www.daraz.com.bd/,459,0,375
1691509405197,460,HTTP Request,200,OK,Thread Group 1-19,text,true,,1747,118,5,5,https://www.daraz.com.bd/,460,0,358
1691509405297,360,HTTP Request,200,OK,Thread Group 1-20,text,true,,1734,118,5,5,https://www.daraz.com.bd/,360,0,259
